Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
1,8,1859.31,4,4,4,444,重要价值客户
163,2,1760.96,1,2,4,124,重要挽留客户
78,1,777.2,2,1,3,213,重要挽留客户
195,1,582.73,1,1,2,112,流失客户
22,3,825.8,3,3,3,333,重要价值客户
26,9,7956.46,3,4,4,344,重要价值客户
9,4,3750.4,4,3,4,434,重要价值客户
43,1,256.4,3,1,1,311,一般发展客户
36,15,6487.45,3,4,4,344,重要价值客户
43,5,5059.32,3,3,4,334,重要价值客户
1,7,13375.87,4,4,4,444,重要价值客户
85,2,806.14,2,2,3,223,重要挽留客户
80,2,7829.89,2,2,4,224,重要挽留客户
100,1,509.01,2,1,2,212,流失客户
2,18,4951.41,4,4,4,444,重要价值客户
14,2,2906.85,4,2,4,424,重要保持客户
367,1,173.55,1,1,1,111,流失客户
3,1,172.06,4,1,1,411,一般发展客户
21,5,5005.46,3,3,4,334,重要价值客户
22,1,133.4,3,1,1,311,一般发展客户
58,1,1002.3100000000001,2,1,3,213,重要挽留客户
243,1,476.49,1,1,2,112,流失客户
44,1,449.45,3,1,2,312,一般发展客户
22,4,4067.29,3,3,4,334,重要价值客户
156,2,197.88,1,2,1,121,流失客户
11,5,9035.52,4,3,4,434,重要价值客户
17,2,430.57,4,2,2,422,一般发展客户
134,1,707.09,2,1,3,213,重要挽留客户
56,1,3528.34,2,1,4,214,重要挽留客户
73,6,2466.86,2,4,4,244,重要发展客户
44,3,3181.04,3,3,4,334,重要价值客户
66,7,2363.23,2,4,4,244,重要发展客户
71,2,947.4,2,2,3,223,重要挽留客户
94,2,826.88,2,2,3,223,重要挽留客户
19,2,1189.59,3,2,3,323,重要保持客户
53,4,1344.78,2,3,3,233,重要发展客户
10,8,1212.05,4,4,3,443,重要价值客户
17,2,742.1899999999999,4,2,3,423,重要保持客户
188,2,729.5400000000001,1,2,3,123,重要挽留客户
2,30,19824.05,4,4,4,444,重要价值客户
32,7,6572.11,3,4,4,344,重要价值客户
29,5,3938.5499999999997,3,3,4,334,重要价值客户
17,18,7375.79,4,4,4,444,重要价值客户
54,1,723.38,2,1,3,213,重要挽留客户
16,11,6816.42,4,4,4,444,重要价值客户
23,6,13219.74,3,4,4,344,重要价值客户
4,1,680.99,4,1,3,413,重要保持客户
11,1,527.2,4,1,2,412,一般发展客户
28,4,3281.63,3,3,4,334,重要价值客户
23,10,5596.32,3,4,4,344,重要价值客户
17,8,2484.98,4,4,4,444,重要价值客户
33,6,4541.72,3,4,4,344,重要价值客户
10,3,1298.66,4,3,3,433,重要价值客户
336,1,334.93,1,1,2,112,流失客户
5,10,5417.93,4,4,4,444,重要价值客户
39,1,460.40000000000003,3,1,2,312,一般发展客户
63,2,263.21000000000004,2,2,1,221,流失客户
166,2,433.74,1,2,2,122,流失客户
16,7,1246.1000000000001,4,4,3,443,重要价值客户
82,1,1043.1,2,1,3,213,重要挽留客户
21,3,403.70000000000005,3,3,2,332,一般价值客户
23,11,4257.82,3,4,4,344,重要价值客户
337,1,2169.39,1,1,4,114,重要挽留客户
96,5,3723.87,2,3,4,234,重要发展客户
18,2,482.04999999999995,4,2,2,422,一般发展客户
233,1,73.5,1,1,1,111,流失客户
134,3,1304.81,2,3,3,233,重要发展客户
26,2,398.27,3,2,2,322,一般发展客户
284,1,176.5,1,1,1,111,流失客户
143,2,982.5699999999999,1,2,3,123,重要挽留客户
66,2,138.03,2,2,1,221,流失客户
113,1,612.29,2,1,2,212,流失客户
267,1,1017.68,1,1,3,113,重要挽留客户
353,1,383.7,1,1,2,112,流失客户
78,2,1312.06,2,2,3,223,重要挽留客户
28,5,2502.84,3,3,4,334,重要价值客户
1,5,2056.89,4,3,4,434,重要价值客户
64,1,340.84,2,1,2,212,流失客户
79,5,2634.26,2,3,4,234,重要发展客户
143,1,599.68,1,1,2,112,流失客户
39,2,192.72,3,2,1,321,一般发展客户
19,11,1789.77,3,4,4,344,重要价值客户
9,8,4485.72,4,4,4,444,重要价值客户
1,3,1316.66,4,3,3,433,重要价值客户
82,3,348.71000000000004,2,3,2,232,一般保持客户
9,6,1933.48,4,4,4,444,重要价值客户
60,4,1662.28,2,3,4,234,重要发展客户
15,1,125.22,4,1,1,411,一般发展客户
30,1,349.83000000000004,3,1,2,312,一般发展客户
131,1,1089.18,2,1,3,213,重要挽留客户
92,2,716.35,2,2,3,223,重要挽留客户
43,3,12601.830000000002,3,3,4,334,重要价值客户
29,1,363.95,3,1,2,312,一般发展客户
22,4,5568.35,3,3,4,334,重要价值客户
20,17,13400.24,3,4,4,344,重要价值客户
30,3,981.18,3,3,3,333,重要价值客户
36,1,372.7,3,1,2,312,一般发展客户
75,2,1000.39,2,2,3,223,重要挽留客户
47,2,1161.5,3,2,3,323,重要保持客户
198,2,207.79999999999998,1,2,1,121,流失客户
166,1,95.19999999999999,1,1,1,111,流失客户
79,1,964.83,2,1,3,213,重要挽留客户
358,1,168.0,1,1,1,111,流失客户
39,2,437.82,3,2,2,322,一般发展客户
8,10,3692.28,4,4,4,444,重要价值客户
50,2,603.71,3,2,2,322,一般发展客户
16,5,11990.960000000001,4,3,4,434,重要价值客户
8,1,269.96,4,1,1,411,一般发展客户
311,2,561.71,1,2,2,122,流失客户
5,3,2134.01,4,3,4,434,重要价值客户
303,1,238.85,1,1,1,111,流失客户
8,7,3781.7400000000002,4,4,4,444,重要价值客户
261,1,456.9,1,1,2,112,流失客户
289,1,145.92,1,1,1,111,流失客户
86,1,351.65,2,1,2,212,流失客户
23,10,9401.28,3,4,4,344,重要价值客户
2,32,4124.69,4,4,4,444,重要价值客户
40,2,519.61,3,2,2,322,一般发展客户
9,2,1020.42,4,2,3,423,重要保持客户
227,1,160.54000000000002,1,1,1,111,流失客户
316,1,218.45,1,1,1,111,流失客户
36,5,1315.83,3,3,3,333,重要价值客户
35,3,657.8,3,3,2,332,一般价值客户
21,2,2794.51,3,2,4,324,重要保持客户
78,1,440.42,2,1,2,212,流失客户
247,1,415.7,1,1,2,112,流失客户
40,1,197.71,3,1,1,311,一般发展客户
239,2,511.36,1,2,2,122,流失客户
3,15,7281.38,4,4,4,444,重要价值客户
4,9,2338.15,4,4,4,444,重要价值客户
234,2,2040.1,1,2,4,124,重要挽留客户
17,1,196.94000000000003,4,1,1,411,一般发展客户
8,1,144.0,4,1,1,411,一般发展客户
39,1,214.89999999999998,3,1,1,311,一般发展客户
29,2,646.68,3,2,2,322,一般发展客户
211,2,9864.26,1,2,4,124,重要挽留客户
317,1,452.84999999999997,1,1,2,112,流失客户
92,2,437.6,2,2,2,222,流失客户
109,3,418.09999999999997,2,3,2,232,一般保持客户
38,10,3338.2200000000003,3,4,4,344,重要价值客户
51,2,618.27,3,2,2,322,一般发展客户
19,4,3811.22,3,3,4,334,重要价值客户
10,8,3023.08,4,4,4,444,重要价值客户
29,7,1032.58,3,4,3,343,重要价值客户
29,10,2599.04,3,4,4,344,重要价值客户
190,5,577.0600000000001,1,3,2,132,一般保持客户
59,1,153.12,2,1,1,211,流失客户
22,1,739.1999999999999,3,1,3,313,重要保持客户
79,2,254.18,2,2,1,221,流失客户
60,1,1579.51,2,1,3,213,重要挽留客户
78,3,1126.85,2,3,3,233,重要发展客户
23,5,2099.54,3,3,4,334,重要价值客户
52,1,1193.32,2,1,3,213,重要挽留客户
74,1,704.0400000000001,2,1,3,213,重要挽留客户
57,5,3344.38,2,3,4,234,重要发展客户
278,1,315.6,1,1,2,112,流失客户
2,4,2291.19,4,3,4,434,重要价值客户
95,2,713.3,2,2,3,223,重要挽留客户
29,1,355.53,3,1,2,312,一般发展客户
22,1,177.31,3,1,1,311,一般发展客户
16,9,3641.24,4,4,4,444,重要价值客户
15,3,1339.41,4,3,3,433,重要价值客户
2,20,13689.67,4,4,4,444,重要价值客户
232,1,180.1,1,1,1,111,流失客户
276,1,305.1,1,1,1,111,流失客户
106,2,641.13,2,2,2,222,流失客户
212,2,2683.82,1,2,4,124,重要挽留客户
23,9,6620.48,3,4,4,344,重要价值客户
11,7,4478.53,4,4,4,444,重要价值客户
4,3,786.46,4,3,3,433,重要价值客户
10,2,1270.88,4,2,3,423,重要保持客户
57,1,640.5,2,1,2,212,流失客户
59,4,2163.98,2,3,4,234,重要发展客户
90,2,1689.18,2,2,4,224,重要挽留客户
67,8,6021.9,2,4,4,244,重要发展客户
33,1,671.69,3,1,2,312,一般发展客户
239,1,486.1,1,1,2,112,流失客户
24,3,1174.58,3,3,3,333,重要价值客户
115,1,185.9,2,1,1,211,流失客户
25,3,1013.26,3,3,3,333,重要价值客户
128,6,3344.64,2,4,4,244,重要发展客户
130,1,477.91,2,1,2,212,流失客户
34,4,1775.18,3,3,4,334,重要价值客户
5,2,1346.97,4,2,3,423,重要保持客户
22,12,3722.82,3,4,4,344,重要价值客户
155,1,318.05,1,1,2,112,流失客户
107,3,623.51,2,3,2,232,一般保持客户
3,1,314.44,4,1,2,412,一般发展客户
335,1,114.0,1,1,1,111,流失客户
331,1,919.98,1,1,3,113,重要挽留客户
149,2,2209.85,1,2,4,124,重要挽留客户
11,5,601.98,4,3,2,432,一般价值客户
17,5,4051.17,4,3,4,434,重要价值客户
11,4,1643.18,4,3,3,433,重要价值客户
19,1,686.05,3,1,3,313,重要保持客户
30,1,91.68,3,1,1,311,一般发展客户
11,1,245.1,4,1,1,411,一般发展客户
1,11,3849.78,4,4,4,444,重要价值客户
8,9,4881.88,4,4,4,444,重要价值客户
325,1,63.0,1,1,1,111,流失客户
58,1,620.13,2,1,2,212,流失客户
12,4,3807.15,4,3,4,434,重要价值客户
151,3,2744.0299999999997,1,3,4,134,重要发展客户
10,5,2996.05,4,3,4,434,重要价值客户
330,1,225.89999999999998,1,1,1,111,流失客户
5,2,610.52,4,2,2,422,一般发展客户
39,4,1970.6,3,3,4,334,重要价值客户
25,6,1331.39,3,4,3,343,重要价值客户
42,12,17628.46,3,4,4,344,重要价值客户
59,4,1113.02,2,3,3,233,重要发展客户
1,4,862.81,4,3,3,433,重要价值客户
15,22,13787.54,4,4,4,444,重要价值客户
4,31,12288.22,4,4,4,444,重要价值客户
4,15,8476.57,4,4,4,444,重要价值客户
8,7,2283.63,4,4,4,444,重要价值客户
28,6,2863.08,3,4,4,344,重要价值客户
372,1,89.14,1,1,1,111,流失客户
114,1,4873.8099999999995,2,1,4,214,重要挽留客户
26,2,1247.61,3,2,3,323,重要保持客户
206,1,389.01,1,1,2,112,流失客户
28,6,1035.8,3,4,3,343,重要价值客户
127,4,855.91,2,3,3,233,重要发展客户
70,2,869.67,2,2,3,223,重要挽留客户
7,4,582.1,4,3,2,432,一般价值客户
29,3,957.59,3,3,3,333,重要价值客户
8,4,4939.99,4,3,4,434,重要价值客户
80,2,797.71,2,2,3,223,重要挽留客户
20,1,219.0,3,1,1,311,一般发展客户
71,1,283.55,2,1,1,211,流失客户
7,8,2340.84,4,4,4,444,重要价值客户
15,9,6868.29,4,4,4,444,重要价值客户
292,1,603.42,1,1,2,112,流失客户
30,10,2712.91,3,4,4,344,重要价值客户
15,15,9736.52,4,4,4,444,重要价值客户
97,3,1149.02,2,3,3,233,重要发展客户
29,13,4396.13,3,4,4,344,重要价值客户
1,1,848.55,4,1,3,413,重要保持客户
9,5,4708.86,4,3,4,434,重要价值客户
106,1,353.86,2,1,2,212,流失客户
4,2,1053.49,4,2,3,423,重要保持客户
151,2,1030.98,1,2,3,123,重要挽留客户
71,1,238.25,2,1,1,211,流失客户
5,2,644.95,4,2,2,422,一般发展客户
3,25,5781.73,4,4,4,444,重要价值客户
32,6,2656.13,3,4,4,344,重要价值客户
85,4,997.63,2,3,3,233,重要发展客户
4,5,725.07,4,3,3,433,重要价值客户
5,4,1031.41,4,3,3,433,重要价值客户
371,1,427.8,1,1,2,112,流失客户
28,7,2609.1,3,4,4,344,重要价值客户
11,7,3980.7,4,4,4,444,重要价值客户
71,4,836.33,2,3,3,233,重要发展客户
114,1,453.01,2,1,2,212,流失客户
24,12,18895.91,3,4,4,344,重要价值客户
180,1,236.26000000000002,1,1,1,111,流失客户
234,1,383.95,1,1,2,112,流失客户
353,1,110.39999999999999,1,1,1,111,流失客户
315,2,779.5699999999999,1,2,3,123,重要挽留客户
333,1,234.0,1,1,1,111,流失客户
372,1,155.35,1,1,1,111,流失客户
78,2,1013.04,2,2,3,223,重要挽留客户
64,1,427.6,2,1,2,212,流失客户
134,2,546.43,2,2,2,222,流失客户
52,7,21279.29,2,4,4,244,重要发展客户
2,11,4196.01,4,4,4,444,重要价值客户
1,209,33719.73,4,4,4,444,重要价值客户
4,5,4090.88,4,3,4,434,重要价值客户
129,1,275.88,2,1,1,211,流失客户
81,1,4366.78,2,1,4,214,重要挽留客户
23,6,21429.39,3,4,4,344,重要价值客户
236,3,3010.74,1,3,4,134,重要发展客户
281,2,3811.95,1,2,4,124,重要挽留客户
87,1,112.07999999999998,2,1,1,211,流失客户
16,13,7857.1,4,4,4,444,重要价值客户
117,2,2791.59,2,2,4,224,重要挽留客户
52,3,1531.44,2,3,3,233,重要发展客户
8,2,1898.52,4,2,4,424,重要保持客户
138,2,494.08,2,2,2,222,流失客户
317,1,1693.88,1,1,4,114,重要挽留客户
4,7,6989.63,4,4,4,444,重要价值客户
239,1,1143.6,1,1,3,113,重要挽留客户
211,1,1351.45,1,1,3,113,重要挽留客户
60,1,892.47,2,1,3,213,重要挽留客户
17,5,1386.04,4,3,3,433,重要价值客户
20,6,822.23,3,4,3,343,重要价值客户
38,8,3981.36,3,4,4,344,重要价值客户
64,2,826.74,2,2,3,223,重要挽留客户
5,5,2330.92,4,3,4,434,重要价值客户
2,6,2225.91,4,4,4,444,重要价值客户
9,2,574.42,4,2,2,422,一般发展客户
364,1,311.95,1,1,2,112,流失客户
10,3,463.66,4,3,2,432,一般价值客户
65,1,91.85,2,1,1,211,流失客户
192,1,324.92,1,1,2,112,流失客户
374,1,192.60000000000002,1,1,1,111,流失客户
257,1,400.53999999999996,1,1,2,112,流失客户
335,2,545.48,1,2,2,122,流失客户
53,2,860.41,2,2,3,223,重要挽留客户
19,1,430.48,3,1,2,312,一般发展客户
366,1,254.03,1,1,1,111,流失客户
10,3,6977.04,4,3,4,434,重要价值客户
187,1,427.58,1,1,2,112,流失客户
37,3,483.65000000000003,3,3,2,332,一般价值客户
178,1,489.31,1,1,2,112,流失客户
261,3,514.85,1,3,2,132,一般保持客户
45,1,229.64000000000001,3,1,1,311,一般发展客户
102,1,125.92,2,1,1,211,流失客户
148,2,1063.46,1,2,3,123,重要挽留客户
96,2,572.2,2,2,2,222,流失客户
281,1,166.04,1,1,1,111,流失客户
262,1,1542.08,1,1,3,113,重要挽留客户
3,4,942.34,4,3,3,433,重要价值客户
214,1,92.72,1,1,1,111,流失客户
71,2,948.88,2,2,3,223,重要挽留客户
75,5,1759.5,2,3,4,234,重要发展客户
60,1,397.12,2,1,2,212,流失客户
3,7,1474.72,4,4,3,443,重要价值客户
6,3,430.15000000000003,4,3,2,432,一般价值客户
3,6,1018.71,4,4,3,443,重要价值客户
337,2,293.0,1,2,1,121,流失客户
38,6,6814.64,3,4,4,344,重要价值客户
262,1,215.05,1,1,1,111,流失客户
32,2,383.03,3,2,2,322,一般发展客户
145,1,417.38,1,1,2,112,流失客户
283,1,312.38,1,1,2,112,流失客户
59,4,2612.86,2,3,4,234,重要发展客户
173,1,134.1,1,1,1,111,流失客户
34,2,683.13,3,2,3,323,重要保持客户
3,14,5591.42,4,4,4,444,重要价值客户
144,4,2726.77,1,3,4,134,重要发展客户
5,25,4022.35,4,4,4,444,重要价值客户
70,2,1118.99,2,2,3,223,重要挽留客户
66,8,1702.26,2,4,4,244,重要发展客户
29,2,325.96000000000004,3,2,2,322,一般发展客户
267,4,354.09,1,3,2,132,一般保持客户
22,1,871.54,3,1,3,313,重要保持客户
31,2,1050.8899999999999,3,2,3,323,重要保持客户
97,1,135.18,2,1,1,211,流失客户
295,1,311.55,1,1,2,112,流失客户
135,6,1957.1000000000001,2,4,4,244,重要发展客户
79,3,1324.5,2,3,3,233,重要发展客户
373,1,38.1,1,1,1,111,流失客户
8,6,2179.93,4,4,4,444,重要价值客户
211,2,1106.4,1,2,3,123,重要挽留客户
52,1,521.2,2,1,2,212,流失客户
138,1,147.12,2,1,1,211,流失客户
26,2,1568.23,3,2,3,323,重要保持客户
283,1,559.12,1,1,2,112,流失客户
26,7,4036.82,3,4,4,344,重要价值客户
186,6,1607.0600000000002,1,4,3,143,重要发展客户
84,2,380.64,2,2,2,222,流失客户
327,2,599.97,1,2,2,122,流失客户
282,1,374.0,1,1,2,112,流失客户
143,2,343.2300000000001,1,2,2,122,流失客户
58,2,2218.02,2,2,4,224,重要挽留客户
4,12,1535.77,4,4,3,443,重要价值客户
236,2,854.99,1,2,3,123,重要挽留客户
45,3,573.22,3,3,2,332,一般价值客户
276,1,298.0,1,1,1,111,流失客户
9,2,1463.04,4,2,3,423,重要保持客户
25,4,703.47,3,3,3,333,重要价值客户
88,1,309.05,2,1,2,212,流失客户
63,3,1175.22,2,3,3,233,重要发展客户
68,2,1378.4,2,2,3,223,重要挽留客户
214,2,354.12,1,2,2,122,流失客户
24,1,380.46999999999997,3,1,2,312,一般发展客户
186,3,331.0,1,3,2,132,一般保持客户
31,1,188.14,3,1,1,311,一般发展客户
42,2,372.8,3,2,2,322,一般发展客户
205,2,216.5,1,2,1,121,流失客户
9,28,17654.54,4,4,4,444,重要价值客户
265,1,138.68,1,1,1,111,流失客户
18,2,509.58,4,2,2,422,一般发展客户
12,5,2919.81,4,3,4,434,重要价值客户
176,2,750.0,1,2,3,123,重要挽留客户
40,5,2178.67,3,3,4,334,重要价值客户
23,8,3075.04,3,4,4,344,重要价值客户
3,5,1662.3,4,3,4,434,重要价值客户
5,5,2483.63,4,4,4,444,重要价值客户
149,2,363.65,1,2,2,122,流失客户
139,4,3006.15,2,3,4,234,重要发展客户
128,1,594.0,2,1,2,212,流失客户
8,6,1335.19,4,4,3,443,重要价值客户
17,1,164.23,4,1,1,411,一般发展客户
9,37,16587.09,4,4,4,444,重要价值客户
161,1,405.38,1,1,2,112,流失客户
64,1,176.97,2,1,1,211,流失客户
88,4,933.7,2,3,3,233,重要发展客户
5,2,694.05,4,2,3,423,重要保持客户
35,5,2062.7000000000003,3,4,4,344,重要价值客户
312,1,117.85,1,1,1,111,流失客户
78,2,415.8,2,2,2,222,流失客户
22,15,42055.96,3,4,4,344,重要价值客户
24,3,607.53,3,3,2,332,一般价值客户
2,7,2160.7,4,4,4,444,重要价值客户
17,4,1063.9,4,3,3,433,重要价值客户
15,4,1504.27,4,3,3,433,重要价值客户
26,1,114.14,3,1,1,311,一般发展客户
64,8,11581.8,2,4,4,244,重要发展客户
55,2,913.54,2,2,3,223,重要挽留客户
131,3,683.9,2,3,3,233,重要发展客户
36,2,604.51,3,2,2,322,一般发展客户
288,1,462.95,1,1,2,112,流失客户
144,6,1603.99,1,4,3,143,重要发展客户
16,7,2064.95,4,4,4,444,重要价值客户
31,8,4167.22,3,4,4,344,重要价值客户
2,3,1843.0,4,3,4,434,重要价值客户
9,6,1064.07,4,4,3,443,重要价值客户
6,4,1387.79,4,3,3,433,重要价值客户
10,1,329.85,4,1,2,412,一般发展客户
1,11,4757.16,4,4,4,444,重要价值客户
306,1,108.07,1,1,1,111,流失客户
10,8,4017.54,4,4,4,444,重要价值客户
7,2,266.39,4,2,1,421,一般发展客户
8,8,1856.63,4,4,4,444,重要价值客户
89,1,771.91,2,1,3,213,重要挽留客户
10,1,160.18,4,1,1,411,一般发展客户
358,2,1660.9,1,2,3,123,重要挽留客户
112,1,135.95,2,1,1,211,流失客户
7,4,452.24,4,3,2,432,一般价值客户
4,86,11189.91,4,4,4,444,重要价值客户
198,1,144.8,1,1,1,111,流失客户
212,1,738.6,1,1,3,113,重要挽留客户
156,1,39.239999999999995,1,1,1,111,流失客户
158,9,7374.900000000001,1,4,4,144,重要发展客户
30,2,372.21999999999997,3,2,2,322,一般发展客户
243,1,390.54,1,1,2,112,流失客户
19,1,97.5,3,1,1,311,一般发展客户
1,2,1239.38,4,2,3,423,重要保持客户
74,2,558.7,2,2,2,222,流失客户
292,1,535.32,1,1,2,112,流失客户
3,15,6924.110000000001,4,4,4,444,重要价值客户
31,3,409.5,3,3,2,332,一般价值客户
23,2,503.76,3,2,2,322,一般发展客户
23,4,414.76,3,3,2,332,一般价值客户
4,3,974.4200000000001,4,3,3,433,重要价值客户
85,1,211.32,2,1,1,211,流失客户
22,4,1226.89,3,3,3,333,重要价值客户
196,3,455.88,1,3,2,132,一般保持客户
107,3,534.85,2,3,2,232,一般保持客户
4,13,9818.82,4,4,4,444,重要价值客户
318,1,120.94999999999999,1,1,1,111,流失客户
106,3,149.05,2,3,1,231,一般保持客户
12,18,5655.91,4,4,4,444,重要价值客户
174,2,513.7,1,2,2,122,流失客户
56,1,81.57,2,1,1,211,流失客户
323,1,229.46999999999997,1,1,1,111,流失客户
372,1,50.550000000000004,1,1,1,111,流失客户
9,8,1661.8400000000001,4,4,4,444,重要价值客户
1,13,4810.9400000000005,4,4,4,444,重要价值客户
11,10,3466.2799999999997,4,4,4,444,重要价值客户
53,5,3346.28,2,4,4,244,重要发展客户
73,3,789.89,2,3,3,233,重要发展客户
7,1,204.0,4,1,1,411,一般发展客户
16,28,7277.7,4,4,4,444,重要价值客户
4,9,2616.38,4,4,4,444,重要价值客户
64,2,689.9,2,2,3,223,重要挽留客户
1,5,975.36,4,4,3,443,重要价值客户
114,6,6912.0,2,4,4,244,重要发展客户
23,2,661.3199999999999,3,2,2,322,一般发展客户
31,3,1247.5,3,3,3,333,重要价值客户
11,2,799.48,4,2,3,423,重要保持客户
52,2,1010.18,2,2,3,223,重要挽留客户
357,1,190.55,1,1,1,111,流失客户
55,2,642.77,2,2,2,222,流失客户
74,2,921.88,2,2,3,223,重要挽留客户
138,3,881.07,2,3,3,233,重要发展客户
80,3,908.46,2,3,3,233,重要发展客户
9,2,676.99,4,2,3,423,重要保持客户
273,1,516.42,1,1,2,112,流失客户
291,1,560.47,1,1,2,112,流失客户
99,1,305.28000000000003,2,1,1,211,流失客户
31,2,629.31,3,2,2,322,一般发展客户
32,10,3237.54,3,4,4,344,重要价值客户
14,4,1835.91,4,3,4,434,重要价值客户
64,2,656.6800000000001,2,2,2,222,流失客户
15,17,5836.86,4,4,4,444,重要价值客户
212,1,348.15000000000003,1,1,2,112,流失客户
78,3,1214.41,2,3,3,233,重要发展客户
25,3,271.40000000000003,3,3,1,331,一般价值客户
250,1,183.4,1,1,1,111,流失客户
254,1,307.53,1,1,2,112,流失客户
72,1,248.61,2,1,1,211,流失客户
191,1,346.98,1,1,2,112,流失客户
13,4,1119.49,4,3,3,433,重要价值客户
373,1,205.86,1,1,1,111,流失客户
24,2,470.8,3,2,2,322,一般发展客户
82,1,115.46000000000001,2,1,1,211,流失客户
10,2,344.0,4,2,2,422,一般发展客户
1,24,4436.12,4,4,4,444,重要价值客户
192,1,228.8,1,1,1,111,流失客户
267,1,177.15,1,1,1,111,流失客户
130,1,919.61,2,1,3,213,重要挽留客户
1,4,729.27,4,3,3,433,重要价值客户
3,26,12627.94,4,4,4,444,重要价值客户
4,5,220.10000000000002,4,4,1,441,一般价值客户
179,1,58.08,1,1,1,111,流失客户
12,11,28337.38,4,4,4,444,重要价值客户
126,9,3613.63,2,4,4,244,重要发展客户
4,2,303.75,4,2,1,421,一般发展客户
158,2,416.08000000000004,1,2,2,122,流失客户
3,97,58825.83,4,4,4,444,重要价值客户
9,14,8910.82,4,4,4,444,重要价值客户
28,1,345.82,3,1,2,312,一般发展客户
71,5,477.83,2,4,2,242,一般保持客户
276,8,7832.47,1,4,4,144,重要发展客户
21,12,1927.3200000000002,3,4,4,344,重要价值客户
71,1,74.39999999999999,2,1,1,211,流失客户
33,10,6010.42,3,4,4,344,重要价值客户
1,28,28882.44,4,4,4,444,重要价值客户
99,1,207.35999999999999,2,1,1,211,流失客户
234,1,101.19,1,1,1,111,流失客户
1,24,6424.09,4,4,4,444,重要价值客户
40,1,243.94,3,1,1,311,一般发展客户
3,6,1098.48,4,4,3,443,重要价值客户
133,1,76.5,2,1,1,211,流失客户
44,4,1531.6200000000001,3,3,3,333,重要价值客户
373,1,350.06,1,1,2,112,流失客户
60,2,786.54,2,2,3,223,重要挽留客户
31,7,1488.67,3,4,3,343,重要价值客户
1,24,12245.960000000001,4,4,4,444,重要价值客户
12,4,2294.78,4,3,4,434,重要价值客户
138,1,501.14,2,1,2,212,流失客户
22,8,984.91,3,4,3,343,重要价值客户
20,5,1197.81,3,4,3,343,重要价值客户
239,1,30.599999999999998,1,1,1,111,流失客户
269,1,283.73,1,1,1,111,流失客户
94,2,922.39,2,2,3,223,重要挽留客户
90,3,3866.33,2,3,4,234,重要发展客户
